"","Sample","Cattle_ID","Life_stage","Sex","Predeliction","A..variegatum","A..coharenses","B..annulatus","B..decoloratus","B..geigyi","H..laechi","R..gulhoni","R..lunulatus","R..muhsame","R..sanguineus","R..senegalensis","R..gemma","Boophilus.sp.","R..quilhoni","A.gemma","R.fanguineus"
"1","S1",1,"Adult","Female","Leg",0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0
"2","S1",1,"Adult","Female","Belly",0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0
"3","S1",1,"Adult","Female","Head",0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"4","S1",1,"Adult","Female","Tail",0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
"5","S1",1,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","S1",1,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","S1",1,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","S1",1,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","S1",1,"Adult","Male","Head",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10","S1",1,"Adult","Male","Tail",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"11","S1",1,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","S1",1,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","S1",1,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","S1",1,"Nymph","Female","Belly",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15","S1",1,"Nymph","Female","Head",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"16","S1",1,"Nymph","Female","Tail",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"17","S1",1,"Nymph","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","S1",1,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","S1",1,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","S1",1,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","S1",1,"Nymph","Male","Head",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"22","S1",1,"Nymph","Male","Tail",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"23","S1",1,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","S1",1,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","S1",2,"Adult","Female","Leg",0,0,18,6,2,0,0,0,0,0,0,0,0,0,0,0
"26","S1",2,"Adult","Female","Belly",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","S1",2,"Adult","Female","Head",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","S1",2,"Adult","Female","Tail",0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0
"29","S1",2,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","S1",2,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","S1",2,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","S1",2,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","S1",2,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
