Predilection,Taxa_S,Individuals,Dominance_D,Simpson_1-D,Shannon_H,Evenness_e^H/S,Brillouin,Menhinick,Margalef,Equitability_J,Fisher_alpha,Berger-Parker,Chao-1
Leg,2,20,0.625,0.375,0.5623,0.8774,0.4824,0.4472,0.3338,0.8113,0.5532,0.75,2
Leg,3,26,0.5385,0.4615,0.7903,0.7347,0.6767,0.5883,0.6139,0.7193,0.8763,0.6923,3
Leg,4,18,0.6235,0.3765,0.7608,0.535,0.5839,0.9428,1.038,0.5488,1.594,0.7778,4.5
Leg,2,9,0.8025,0.1975,0.3488,0.7087,0.2441,0.6667,0.4551,0.5033,0.7972,0.8889,2
Leg,3,16,0.3438,0.6563,1.082,0.9837,0.896,0.75,0.7213,0.9851,1.09,0.375,3
Leg,2,7,0.7551,0.2449,0.4101,0.7535,0.278,0.7559,0.5139,0.5917,0.9354,0.8571,2
Leg,2,17,0.5433,0.4567,0.6492,0.9571,0.5543,0.4851,0.353,0.9367,0.5887,0.6471,2
Leg,3,26,0.4793,0.5207,0.8587,0.7867,0.742,0.5883,0.6139,0.7817,0.8763,0.6154,3
Leg,1,1,1,0,0,1,0,1,0,,0,1,1
Leg,2,6,0.7222,0.2778,0.4506,0.7846,0.2986,0.8165,0.5581,0.65,1.051,0.8333,2
Leg,1,4,1,0,0,1,0,0.5,0,,0.4279,1,1
Leg,2,3,0.5556,0.4444,0.6365,0.9449,0.3662,1.155,0.9102,0.9183,2.622,0.6667,2
Leg,2,4,0.625,0.375,0.5623,0.8774,0.3466,1,0.7213,0.8113,1.592,0.75,2
Leg,2,7,0.5102,0.4898,0.6829,0.9898,0.5079,0.7559,0.5139,0.9852,0.9354,0.5714,2
Leg,1,6,1,0,0,1,0,0.4082,0,,0.3426,1,1
Leg,2,13,0.503,0.497,0.6902,0.997,0.5729,0.5547,0.3899,0.9957,0.6601,0.5385,2
Leg,1,10,1,0,0,1,0,0.3162,0,,0.2766,1,1
Leg,2,10,0.82,0.18,0.3251,0.6921,0.2303,0.6325,0.4343,0.469,0.7517,0.9,2
Leg,2,4,0.5,0.5,0.6931,1,0.4479,1,0.7213,1,1.592,0.5,2
Leg,2,7,0.5102,0.4898,0.6829,0.9898,0.5079,0.7559,0.5139,0.9852,0.9354,0.5714,2
Leg,2,8,0.5313,0.4688,0.6616,0.9689,0.5032,0.7071,0.4809,0.9544,0.8559,0.625,2
