"","Species","Belly","Head","Leg","Neck","Shoulder","Tail"
"1","A. variegatum"," 7"," 6","15"," 4"," 0","15"
"2","A. coharenses","1","2","2","2","0","2"
"3","R. annulatus","213","133","175","118"," 21","158"
"4","R. decoloratus","131","100","140"," 73"," 44"," 79"
"5","R. geigyi","75","74","80","77","28","70"
"6","H.laechi","0","1","0","0","0","2"
"7","R. lunulatus","2","9","4","0","4","7"
"8","R. muhsamae","1","5","1","1","0","2"
"9","R. senegalensis","1","2","0","1","0","2"
"10","Rhipicephalus sp.","0","0","0","0","0","3"
"11","R. sanguineus"," 1","11"," 0"," 3"," 0"," 0"
"12","R. guilhoni"," 0","12"," 0"," 3"," 2"," 4"
"13","A. gemma","0","1","0","0","0","0"
