Collector,Cattle,Predilection,A.Variegatum,H.impressum,B.geigyi,R.sangiuneus
Gift,1,Head,0,0,0,0
Gift,2,Head,1,0,0,0
Gift,3,Head,0,0,2,0
Gift,4,Head,0,0,3,0
Gift,5,Head,1,1,0,0
Gift,6,Head,1,3,0,0
Gift,7,Head,0,3,0,0
Gift,8,Head,1,0,1,0
Gift,9,Head,0,4,0,0
Gift,10,Head,2,2,0,0
Gift,11,Head,2,5,0,0
Gift,12,Head,0,4,1,1
Gift,13,Head,1,5,0,0
Gift,14,Head,0,3,0,2
Gift,15,Head,1,4,0,0
Gift,16,Head,0,6,0,0
Gift,17,Head,1,0,2,0
Gift,18,Head,1,1,0,0
Gift,19,Head,1,4,0,0
Gift,20,Head,2,1,0,0
Gift,21,Head,1,2,0,0
Gift,22,Head,2,2,0,0
Gift,23,Head,3,0,0,0
Gift,24,Head,3,1,0,1
Gift,25,Head,0,0,0,0
Gift,26,Head,0,0,0,0
Gift,27,Head,0,0,0,0
Gift,28,Head,0,0,0,0
Gift,29,Head,0,0,0,0
Gift,30,Head,0,0,0,0
Gift,1,Neck,0,0,0,0
Gift,2,Neck,0,0,1,0
Gift,3,Neck,5,0,0,0
Gift,4,Neck,0,0,0,0
Gift,5,Neck,2,1,0,0
Gift,6,Neck,1,1,0,1
Gift,7,Neck,0,4,1,0
Gift,8,Neck,0,2,2,0
Gift,9,Neck,0,1,0,0
Gift,10,Neck,0,4,0,0
Gift,11,Neck,0,4,0,0
Gift,12,Neck,0,5,0,0
Gift,13,Neck,0,4,0,0
Gift,14,Neck,1,3,0,0
Gift,15,Neck,0,3,0,0
Gift,16,Neck,1,4,0,0
Gift,17,Neck,4,1,0,0
Gift,18,Neck,1,2,0,0
Gift,19,Neck,3,2,0,0
Gift,20,Neck,1,4,0,0
Gift,21,Neck,0,0,2,0
Gift,22,Neck,2,1,0,0
Gift,23,Neck,5,0,0,0
Gift,24,Neck,3,0,0,0
Gift,25,Neck,0,0,0,0
Gift,26,Neck,0,0,0,0
Gift,27,Neck,0,0,0,0
Gift,28,Neck,0,0,0,0
Gift,29,Neck,0,0,0,0
Gift,30,Neck,0,0,0,0
Gift,1,Shoulder,0,0,0,0
Gift,2,Shoulder,0,0,2,0
Gift,3,Shoulder,2,0,0,0
Gift,4,Shoulder,0,0,0,0
Gift,5,Shoulder,1,1,0,0
Gift,6,Shoulder,1,0,1,0
Gift,7,Shoulder,0,0,1,0
Gift,8,Shoulder,1,2,0,0
Gift,9,Shoulder,2,1,0,0
Gift,10,Shoulder,0,4,0,0
Gift,11,Shoulder,0,2,0,0
Gift,12,Shoulder,0,0,4,0
Gift,13,Shoulder,1,2,0,0
