"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","Belly vs Head",1,0.452264650560975,1.83366186738471,0.0155614434646731,0.119,1,""
"2","Belly vs Leg",1,0.0206545742811062,0.0824726959697573,0.000692567882599473,0.951,1,""
"3","Belly vs Tail",1,0.197114954521138,0.751893682922421,0.00691384450844273,0.577,1,""
"4","Belly vs Neck",1,0.0958308430302821,0.389535097186362,0.00384196551264364,0.757,1,""
"5","Belly vs Shoulder",1,0.687607693888962,2.85380896094048,0.0352959124327602,0.031,0.465,""
"6","Head vs Leg",1,0.295072222270961,1.1771999596262,0.00979553492693854,0.348,1,""
"7","Head vs Tail",1,0.204376114161562,0.778888702215813,0.007160292879513,0.565,1,""
"8","Head vs Neck",1,0.253309603993106,1.02860055486619,0.0100814923391315,0.398,1,""
"9","Head vs Shoulder",1,0.319704903877497,1.32508474546323,0.0167044857211956,0.256,1,""
"10","Leg vs Tail",1,0.161776761199586,0.608096038393783,0.00544849397112369,0.691,1,""
"11","Leg vs Neck",1,0.0759477246223042,0.303038863965236,0.00290536946253759,0.832,1,""
"12","Leg vs Shoulder",1,0.353152047319113,1.42949445535369,0.0173420262346501,0.209,1,""
"13","Tail vs Neck",1,0.0986339522555653,0.373262781411733,0.00399753387953838,0.835,1,""
"14","Tail vs Shoulder",1,0.585417232323039,2.21254061055986,0.0306392849753346,0.08,1,""
"15","Neck vs Shoulder",1,0.503486471453005,2.1068310039552,0.0323595999293409,0.091,1,""
